is_breaking_time,is_working_time,is_sleeping_time,time_cos,time_since_last_msg,mood,boredom,energy,noise,target
False,True,False,-0.966,127,39,23,-9,0.797,0
False,False,True,0.259,2,39,91,-34,0.114,0
False,True,False,-0.966,10,-59,-88,48,0.745,0
False,False,False,0.562,191,6,75,90,0.771,1
True,False,False,0.259,293,1,-83,24,0.338,0
False,False,True,0.259,2610,50,90,60,0.314,1
False,False,False,0.07,187,100,95,30,0.291,1
False,True,False,-0.5,346,70,32,59,0.478,1
False,False,True,0.966,10,94,-94,27,0.099,0
False,True,False,-0.866,334,-41,-33,66,0.793,1
True,False,False,0.707,1,-99,-91,-96,0.367,0
False,False,True,1.0,128,-45,-63,-3,0.159,0
False,True,False,-0.0,61,20,-30,83,0.344,0
False,False,False,-0.334,120,1,5,-61,0.914,0
False,False,True,0.5,27,66,68,89,0.998,0
False,False,False,-0.17,716,-94,94,-17,0.084,1
False,False,True,0.866,8,10,15,-15,0.201,1
False,True,False,-0.707,7,48,77,-79,0.22,0
True,False,False,0.5,3,52,80,-63,0.883,0
False,True,False,-0.707,266,-36,-45,5,0.387,0
False,True,False,-0.966,246,39,-39,65,0.729,0
False,False,False,-0.95,720,43,62,85,0.897,1
True,False,False,-0.966,355,71,47,33,0.776,1
False,False,False,-0.917,2,22,41,95,0.967,0
False,False,True,0.5,359,-75,62,60,0.651,0
False,True,False,-0.707,37,10,-27,-48,0.638,1
True,False,False,0.5,28,65,-16,29,0.757,1
False,False,True,1.0,105,-22,-40,50,0.892,0
True,False,False,0.259,152,-59,95,62,0.734,1
False,True,False,-0.259,151,86,-7,17,0.059,1
False,False,False,-0.78,1415,36,11,-16,0.345,1
False,False,False,-0.032,88,-90,-93,65,0.001,0
False,False,False,-0.21,8,9,23,26,0.201,1
False,False,False,0.992,262,-31,29,-12,0.474,0
True,False,False,-0.966,311,-43,-48,68,0.518,1
False,True,False,-0.866,2618,73,78,24,0.679,1
False,False,True,0.0,91,18,-39,9,0.247,0
False,False,True,0.707,198,88,-10,-20,0.809,0
False,False,False,0.84,1201,9,43,-6,0.685,0
True,False,False,-0.966,1,95,91,99,0.657,1
True,False,False,0.707,124,94,88,-89,0.556,1
False,False,True,0.259,6,26,55,73,0.664,0
False,False,True,1.0,60,32,41,70,0.519,0
False,False,True,0.966,65,22,90,-63,0.04,0
False,False,False,-0.887,7,-88,81,-21,0.234,0
True,False,False,-1.0,1513,37,74,81,0.548,1
False,False,False,-0.843,10,39,27,24,0.387,1
True,False,False,-1.0,2444,-4,16,-8,0.968,1
True,False,False,0.5,1169,-56,50,77,0.533,1
False,False,False,-0.654,271,-27,65,99,0.13,1
True,False,False,0.259,29,98,-24,91,0.694,1
False,False,True,0.866,254,24,-41,-21,0.287,1
False,False,False,0.165,354,-28,49,-10,0.316,1
False,False,False,0.916,303,-24,95,93,0.839,1
False,True,False,-0.966,884,-7,63,18,0.258,0
False,False,True,0.5,1,33,66,93,0.8,0
False,True,False,-0.866,139,-96,-87,-98,0.182,0
False,True,False,-0.0,204,33,72,84,0.675,1
False,True,False,-0.259,126,92,8,98,0.382,1
False,False,True,0.5,9,91,40,53,0.938,0
False,True,False,-0.866,1,62,71,75,0.593,0
False,True,False,-0.259,676,24,-24,11,0.041,0
False,True,False,-0.707,2628,-2,5,-88,0.491,1
False,False,False,0.88,1233,-44,-85,39,0.441,0
False,False,True,0.259,340,99,54,-91,0.899,0
False,False,True,1.0,324,35,-45,2,0.713,0
False,False,True,-0.259,167,92,-98,25,0.681,0
True,False,False,-0.0,81,37,75,-57,0.067,1
False,True,False,-0.259,269,-56,-52,43,0.134,0
False,True,False,-0.866,293,-72,55,82,0.152,0
False,False,True,0.707,5,93,26,-50,0.934,0
False,True,False,-0.866,206,-42,-37,94,0.197,1
False,True,False,-0.866,123,-54,2,-10,0.215,0
False,True,False,-0.259,4,-91,2,-89,0.314,0
False,False,False,-0.81,2,-37,-89,51,0.272,1
True,False,False,-0.0,119,72,67,68,0.299,1
False,False,True,0.259,0,66,69,64,0.139,1
False,True,False,-0.966,5,-20,-44,45,0.223,1
False,True,False,-0.0,17,-50,-87,85,0.538,1
False,True,False,-0.866,721,24,69,79,0.972,0
False,False,True,0.966,15,64,39,44,0.409,0
False,True,False,-0.5,311,-32,-49,41,0.591,1
False,False,False,0.967,248,17,56,80,0.706,1
False,True,False,-0.0,216,-75,42,71,0.848,1
True,False,False,-1.0,83,-12,-17,-5,0.977,0
False,True,False,-0.866,175,68,95,-71,0.141,0
False,False,True,0.966,10,-20,-87,65,0.321,0
False,True,False,-0.866,2082,-91,25,86,0.918,0
False,True,False,-0.866,219,-10,45,99,0.334,0
False,False,False,-0.813,56,85,24,53,0.216,0
False,True,False,-0.866,207,-53,32,82,0.678,1
True,False,False,0.707,487,15,-16,-30,0.034,1
False,True,False,-0.259,205,-93,13,26,0.874,0
False,False,False,0.687,296,68,48,45,0.064,1
False,False,True,0.966,247,34,-96,26,0.931,0
False,True,False,-0.866,287,36,-30,40,0.356,0
False,False,False,-0.541,7,85,-93,95,0.958,1
False,True,False,-0.966,373,49,79,-31,0.83,0
False,True,False,-0.5,263,-31,-94,-31,0.183,0
False,False,False,0.981,304,-15,21,-44,0.984,0
True,False,False,-1.0,7,83,20,45,0.287,0
False,True,False,-0.966,1908,0,-9,-60,0.346,0
False,True,False,-0.866,942,-60,-65,34,0.081,0
False,False,False,-0.631,88,24,-51,-21,0.272,0
False,False,False,-0.219,1354,35,49,82,0.759,1
False,False,False,-0.751,7,97,-48,-96,0.279,0
False,True,False,-0.866,234,85,21,60,0.079,1
False,False,False,-0.867,124,28,44,25,0.568,1
False,False,True,0.866,106,7,51,76,0.361,0
False,False,False,-0.081,8,59,82,65,0.516,1
False,False,True,0.259,224,-17,16,44,0.487,0
True,False,False,0.259,313,-92,33,-4,0.129,0
False,True,False,-0.866,4,9,55,78,0.733,0
False,False,True,-0.259,2737,-40,-76,56,0.479,0
False,True,False,-0.966,9,3,-87,-46,0.725,0
False,True,False,-0.966,6,96,-27,-91,0.277,0
False,True,False,-0.866,323,-3,34,54,0.529,0
False,False,True,0.866,314,22,67,95,0.191,0
False,True,False,-0.5,303,-58,49,64,0.9,0
False,False,True,0.5,10,95,50,66,0.818,0
False,False,False,0.972,788,-15,13,16,0.69,0
False,True,False,-0.966,355,-85,-23,-85,0.059,0
True,False,False,-0.966,843,-3,21,-20,0.031,1
False,False,False,0.713,8,97,-87,88,0.111,0
True,False,False,0.5,2406,21,9,4,0.751,1
False,True,False,-0.5,1886,-8,-5,-36,0.455,0
False,True,False,-0.0,1107,-98,-7,54,0.822,0
False,False,False,-0.752,103,92,32,55,0.039,0
False,False,True,0.866,7,99,-87,-99,0.79,0
False,False,True,0.259,3,-93,-17,38,0.339,0
False,False,True,0.966,20,48,72,87,0.512,0
False,False,True,1.0,146,88,47,60,0.115,0
False,False,False,-0.599,2423,72,45,62,0.782,1
False,False,False,0.664,319,37,92,-41,0.202,1
False,False,False,0.957,6,17,15,3,0.469,1
False,False,True,0.966,122,93,92,40,0.524,0
False,False,False,0.986,91,91,94,96,0.538,1
False,False,True,0.707,249,-55,40,88,0.596,0
False,True,False,-0.5,9,23,78,-49,0.787,1
False,False,False,0.418,170,50,82,-67,0.023,1
False,True,False,-0.866,354,-88,-99,89,0.507,0
True,False,False,0.259,15,86,52,-90,0.564,1
False,False,True,0.966,2728,-86,88,-96,0.294,0
False,False,True,0.866,84,58,31,-16,0.364,1
False,False,True,-0.259,177,-43,91,77,0.255,0
False,True,False,-0.259,83,-22,16,-27,0.176,0
True,False,False,0.5,169,-56,43,-50,0.073,0
True,False,False,-0.966,115,-3,-3,-27,0.269,0
False,True,False,-0.707,72,9,-16,-29,0.818,1
False,True,False,-0.5,306,95,-87,82,0.504,0
False,True,False,-0.5,147,7,21,-27,0.589,0
False,True,False,-0.707,104,89,31,43,0.562,1
False,True,False,-0.866,61,-16,-32,-55,0.839,0
False,False,False,-0.479,260,9,-8,-36,0.886,1
False,True,False,-0.5,313,35,95,-77,0.405,0
False,False,True,0.707,315,75,23,60,0.925,0
False,True,False,-0.707,1062,89,36,42,0.498,1
False,False,True,0.866,5,98,16,-46,0.162,0
False,True,False,-0.707,3,-37,-82,59,0.973,0
False,False,False,0.36,151,-36,-69,90,0.17,0
False,True,False,-0.866,93,16,-18,-34,0.169,0
False,False,False,-0.566,1815,-29,32,-6,0.937,1
False,False,False,-0.951,1190,-40,-63,45,0.13,0
True,False,False,0.259,81,19,44,88,0.322,1
False,True,False,-0.5,689,63,70,67,0.377,0
False,False,False,-0.291,46,-89,98,90,0.847,0
False,False,True,0.966,2,29,-32,-48,0.399,0
True,False,False,0.259,62,-54,70,81,0.148,0
False,True,False,-0.259,5,42,72,-31,0.75,1
True,False,False,0.259,496,-70,-14,-10,0.542,0
True,False,False,0.5,3,-16,1,-32,0.432,0
True,False,False,0.707,186,58,91,-79,0.548,1
True,False,False,0.707,229,-64,12,68,0.842,1
False,True,False,-0.5,1,64,31,31,0.372,0
False,True,False,-0.707,432,-91,-35,93,0.901,0
False,True,False,-0.866,1882,89,36,32,0.389,1
False,False,True,0.866,38,36,61,97,0.757,1
False,True,False,-0.707,123,-57,-83,46,0.63,0
False,True,False,-0.707,595,-70,51,88,0.39,1
True,False,False,0.5,221,-39,58,90,0.724,0
False,True,False,-0.707,7,-8,26,-91,0.589,0
False,False,True,0.0,7,57,77,-67,0.095,0
False,False,False,0.467,270,-36,11,-58,0.857,1
False,True,False,-0.966,96,83,33,37,0.028,1
False,True,False,-0.866,1125,-19,3,-25,0.694,0
False,True,False,-0.5,9,52,66,-62,0.79,0
False,False,True,0.707,1294,14,6,-21,0.094,0
False,False,False,-0.959,184,-72,-66,89,0.378,0
False,True,False,-0.866,2408,-20,53,-7,0.747,1
False,False,True,0.707,455,11,42,75,0.884,0
False,False,True,0.966,2345,-15,17,-9,0.8,1
False,True,False,-0.866,67,3,79,79,0.061,0
False,False,True,-0.259,100,47,74,94,0.106,0
False,False,False,0.642,48,-39,-55,35,0.02,1
False,True,False,-0.707,2246,23,72,79,0.372,0
False,False,True,0.259,0,67,68,62,0.481,0
False,False,False,-0.982,81,-51,28,9,0.499,1
True,False,False,0.259,117,71,44,68,0.296,0
False,True,False,-0.5,2,-22,58,-52,0.257,0
False,False,True,0.707,9,-89,85,-3,0.829,0
True,False,False,-1.0,3,92,-88,-92,0.357,0
False,True,False,-0.5,6,34,62,14,0.743,1
False,False,False,0.865,888,32,45,14,0.817,0
False,False,False,-0.348,924,44,81,-60,0.627,0
False,False,False,-1.0,2,-91,0,-13,0.539,0
False,True,False,-0.966,2049,-19,-17,-27,0.338,0
False,True,False,-0.707,130,13,-51,45,0.304,0
False,False,False,0.664,60,-57,-52,47,0.673,0
False,False,True,0.866,2368,-36,-42,74,0.879,1
False,True,False,-0.259,7,23,-11,1,0.006,0
False,False,False,0.551,291,40,94,-59,0.77,1
False,False,False,-0.89,48,51,-47,-4,0.104,1
False,False,False,-1.0,2,33,87,-98,0.49,0
False,False,True,0.966,1360,-7,-15,-57,0.521,0
False,False,True,0.707,2,90,49,-84,0.966,0
False,True,False,-0.866,47,48,84,-74,0.971,0
False,False,False,0.904,20,-32,20,64,0.486,1
False,False,False,-0.564,2707,90,42,34,0.354,1
True,False,False,-1.0,1378,-86,-89,-97,0.002,0
False,False,True,0.0,46,14,20,-48,0.298,1
False,True,False,-0.259,291,30,54,79,0.349,1
False,False,True,0.866,109,-85,88,-93,0.616,0
False,True,False,-0.0,9,54,77,-76,0.338,0
False,False,True,0.866,270,-13,38,-66,0.248,0
False,True,False,-0.866,2012,-68,-31,65,0.739,1
True,False,False,-1.0,1191,-92,97,93,0.726,1
False,False,True,0.966,6,-94,-96,-77,0.173,0
False,False,True,0.866,181,65,59,30,0.537,0
True,False,False,-0.966,2564,16,-60,-11,0.651,0
False,True,False,-0.0,4,-86,-26,91,0.877,0
False,False,True,0.0,0,63,29,49,0.936,0
False,False,False,1.0,628,-54,-30,-24,0.402,0
False,True,False,-0.866,181,-88,-40,86,0.75,0
False,True,False,-0.0,205,-23,-58,66,0.119,0
False,False,True,0.0,7,98,97,-12,0.983,0
False,True,False,-0.259,235,26,72,-47,0.918,1
False,False,True,-0.259,270,26,81,-56,0.543,0
False,False,False,0.704,1619,-14,-59,-94,0.593,0
True,False,False,-0.0,298,7,26,-35,0.887,1
True,False,False,-1.0,69,-90,-96,-87,0.169,0
False,False,True,-0.259,82,55,80,-73,0.905,0
False,True,False,-0.707,2324,-94,28,-100,0.774,0
False,True,False,-0.707,152,59,69,-42,0.791,1
False,False,False,0.736,439,-51,-83,40,0.142,0
False,False,False,0.956,1561,98,-100,-92,0.686,0
True,False,False,-0.0,118,97,-98,-34,0.778,0
False,True,False,-0.866,2468,-94,28,90,0.454,1
False,False,False,0.833,5,2,4,-2,0.742,1
False,True,False,-0.966,5,-98,-18,-29,0.954,0
False,True,False,-0.707,204,-38,-35,80,0.744,0
True,False,False,0.5,0,-24,-52,46,0.579,0
False,True,False,-0.0,1,86,-100,-94,0.968,0
False,False,True,0.5,326,39,5,-21,0.82,0
False,False,False,-0.817,1470,-93,8,-90,0.5,0
True,False,False,0.707,125,1,-4,-25,0.195,1
False,True,False,-0.966,176,42,-12,17,0.466,0
False,False,True,0.966,253,37,49,89,0.291,0
False,True,False,-0.259,701,-42,-2,-35,0.1,0
False,True,False,-0.866,260,-87,-8,-28,0.158,0
False,False,True,0.966,1748,54,94,-79,0.767,0
False,False,False,0.346,1,-44,-51,49,0.89,0
False,True,False,-0.966,121,-46,-53,81,0.164,0
True,False,False,0.259,1107,-48,-57,38,0.796,0
False,True,False,-0.966,224,96,-8,-90,0.069,0
True,False,False,-1.0,1508,67,83,-67,0.289,0
True,False,False,-0.966,11,59,60,-33,0.006,1
False,False,False,0.752,0,-58,9,70,0.886,0
False,True,False,-0.707,103,51,71,-71,0.458,0
False,True,False,-0.966,4,-2,-23,-58,0.082,0
True,False,False,0.259,906,87,70,15,0.824,1
False,False,False,0.103,363,63,28,45,0.963,1
False,True,False,-0.707,1052,-95,1,-7,0.923,1
True,False,False,0.259,456,-31,70,78,0.782,1
True,False,False,-0.966,5,-91,-100,43,0.981,0
False,False,True,0.5,202,-21,78,89,0.021,0
True,False,False,0.5,212,-13,-6,-21,0.088,0
False,False,False,-0.993,1561,-85,85,88,0.118,1
True,False,False,-1.0,134,70,12,9,0.131,1
False,False,False,0.18,11,28,-1,0,0.411,0
True,False,False,0.707,159,78,-7,-69,0.106,0
False,True,False,-0.866,1968,53,61,69,0.535,1
False,False,True,0.707,4,-40,-37,-60,0.197,0
True,False,False,-0.0,1315,-17,18,-19,0.685,1
False,False,True,0.866,6,29,84,-74,0.055,0
False,False,False,0.233,249,-46,-90,43,0.654,0
False,False,False,-0.662,191,-31,-76,46,0.59,0
False,False,False,0.569,204,67,59,38,0.774,0
False,False,False,0.095,110,-86,88,-89,0.669,0
False,True,False,-0.866,2,17,10,-2,0.835,0
True,False,False,0.707,1671,-69,-38,83,0.174,1
True,False,False,-0.966,230,4,44,75,0.455,1
False,False,True,0.966,2794,30,53,-14,0.924,1
True,False,False,-0.966,2299,80,25,57,0.413,1
False,False,False,-0.94,284,22,95,-41,0.795,0
False,False,False,0.392,796,-4,-30,59,0.319,1
False,True,False,-0.0,138,25,17,5,0.867,0
False,False,False,-0.671,1122,34,45,73,0.26,0
False,False,True,0.259,2,-31,28,-53,0.036,0
False,True,False,-0.0,352,-87,-99,98,0.151,0
False,False,False,-0.748,296,56,67,73,0.274,1
False,False,True,0.5,2,-24,25,-22,0.1,0
False,True,False,-0.966,127,-96,-63,-87,0.315,0
False,True,False,-0.5,60,77,36,50,0.817,1
False,False,True,0.966,819,100,91,-86,0.064,0
True,False,False,0.259,1245,-78,64,64,0.05,1
False,False,False,0.37,170,54,64,-72,0.164,1
False,True,False,-0.866,331,69,74,95,0.869,1
False,False,False,0.224,1034,94,-36,94,0.32,1
False,False,True,0.966,207,-100,48,-88,0.283,0
False,True,False,-0.259,384,23,45,-15,0.952,0
False,False,False,-0.197,32,58,-42,-2,0.793,1
False,True,False,-0.966,8,-54,-43,61,0.051,0
False,False,False,-0.392,301,40,68,-50,0.465,1
False,False,False,-0.999,115,61,26,56,0.882,1
False,False,False,-0.876,933,-58,-61,64,0.548,1
True,False,False,0.5,3,-6,-36,95,0.594,1
False,False,True,0.0,8,31,66,-51,0.479,0
True,False,False,-0.966,261,94,-12,-90,0.843,0
False,True,False,-0.5,233,-13,22,90,0.084,0
False,False,True,0.5,195,33,82,61,0.346,0
False,False,True,-0.259,148,-94,-97,-28,0.876,0
False,False,False,0.602,1332,-92,-86,2,0.204,0
True,False,False,0.707,44,-35,-46,28,0.997,1
True,False,False,-0.0,7,38,66,73,0.663,1
True,False,False,-0.966,126,61,68,-44,0.702,1
False,True,False,-0.966,1263,-58,-90,60,0.727,0
False,True,False,-0.866,321,13,78,73,0.061,0
True,False,False,0.5,1910,27,76,-33,0.118,1
False,False,False,-0.689,190,49,97,93,0.864,1
False,False,True,0.5,2273,71,30,60,0.228,0
False,False,False,-0.931,5,23,43,89,0.379,0
False,True,False,-0.5,298,-14,-47,0,0.622,1
False,False,False,-0.032,0,-3,-45,-92,0.41,0
False,True,False,-0.5,7,0,-38,33,0.494,0
False,False,False,-0.781,2396,49,75,71,0.029,1
True,False,False,-0.966,196,62,83,-55,0.516,1
True,False,False,-0.0,1169,24,17,26,0.739,1
False,False,False,-0.371,246,-46,97,94,0.9,1
False,True,False,-0.866,355,94,16,-93,0.41,0
False,False,False,-0.403,1316,86,-99,86,0.7,1
False,False,False,0.637,232,91,97,85,0.161,1
False,True,False,-0.259,1485,-21,7,12,0.444,0
False,True,False,-0.966,2782,31,-99,-18,0.477,0
False,False,True,0.966,236,-40,-42,95,0.724,0
True,False,False,-0.0,2461,31,91,-32,0.123,1
False,False,True,0.707,226,-77,-12,88,0.903,0
False,False,True,0.966,299,50,95,-52,0.99,0
False,False,False,0.989,1182,-39,52,88,0.12,1
True,False,False,-1.0,7,-56,90,91,0.66,0
False,True,False,-0.5,2258,90,-2,40,0.587,1
False,True,False,-0.5,195,-87,7,-90,0.773,0
False,False,True,0.966,1008,42,78,-32,0.587,0
False,True,False,-0.707,1268,22,28,-14,0.229,0
False,False,True,1.0,47,37,65,-55,0.157,0
False,True,False,-0.259,262,65,23,48,0.33,1
False,False,False,-0.359,359,-47,46,70,0.364,1
False,False,True,1.0,1822,6,-91,3,0.479,0
False,True,False,-0.707,241,96,-91,100,0.573,0
False,False,False,-1.0,2,42,77,85,0.853,1
False,False,True,1.0,495,-69,67,62,0.365,0
True,False,False,-0.0,7,-87,-97,21,0.091,0
False,False,True,0.0,307,84,28,41,0.114,0
False,False,False,-0.999,5,-53,-95,69,0.779,0
False,True,False,-0.5,140,19,-53,-15,0.338,0
False,False,True,0.866,7,31,-12,13,0.213,0
False,True,False,-0.707,1756,46,66,94,0.748,1
False,False,True,0.866,270,91,-65,37,0.043,0
False,False,True,0.5,218,-8,-15,-30,0.746,0
False,True,False,-0.5,40,15,5,-94,0.575,0
True,False,False,-0.966,291,66,73,91,0.327,0
False,False,False,-0.384,165,66,42,55,0.857,1
False,False,True,0.5,351,70,88,-39,0.184,0
False,False,False,-0.417,301,-7,12,-17,0.871,0
False,False,True,0.966,298,18,-45,-55,0.217,0
False,True,False,-0.866,2529,16,-18,12,0.177,0
False,False,False,-0.995,239,5,-2,8,0.326,1
False,False,True,0.866,219,-47,-91,84,0.614,1
False,False,False,-0.999,1119,24,24,-5,0.813,1
False,True,False,-0.5,285,48,35,-10,0.48,1
True,False,False,0.5,313,6,-22,-81,0.398,1
False,True,False,-0.259,231,36,-3,-91,0.405,0
False,False,True,0.866,287,100,92,-35,0.545,1
False,False,True,0.259,10,7,-30,39,0.39,0
False,False,False,-0.322,54,46,60,80,0.403,1
False,False,True,0.966,1907,-22,62,99,0.955,0
False,False,False,-0.199,482,17,-2,38,0.554,1
True,False,False,0.707,173,-7,1,55,0.508,1
False,False,False,0.189,107,-59,-86,59,0.35,0
False,True,False,-0.707,210,-40,-45,66,0.483,1
True,False,False,-0.0,2128,94,26,67,0.221,1
False,True,False,-0.707,67,19,-95,-20,0.734,0
False,False,True,0.966,312,70,80,61,0.713,0
False,False,False,-0.194,187,79,71,62,0.843,1
True,False,False,-1.0,206,-5,-73,-19,0.541,0
False,False,False,-0.788,847,-93,100,-77,0.899,1
True,False,False,-1.0,1,-86,-90,-87,0.537,0
False,True,False,-0.259,235,2,43,-25,0.448,1
False,False,False,-0.37,3,-59,-70,54,0.338,1
False,True,False,-0.707,322,-72,-64,87,0.753,0
False,False,True,0.259,209,46,-14,-1,0.746,1
False,False,True,0.0,34,-54,24,-38,0.188,0
False,True,False,-0.707,360,-17,6,27,0.071,0
False,False,True,0.966,785,-93,-91,1,0.605,0
False,False,False,0.445,171,-51,35,51,0.844,1
False,True,False,-0.5,190,-4,18,47,0.326,1
False,False,False,-0.484,159,-51,-35,88,0.664,1
False,False,False,-0.999,63,-2,16,22,0.434,1
False,False,False,0.75,2424,89,-37,0,0.637,1
True,False,False,-0.966,71,-50,-61,94,0.183,0
False,False,False,0.691,55,35,55,90,0.674,1
True,False,False,-1.0,1105,97,-85,-71,0.935,0
False,False,True,0.866,302,56,73,-72,0.709,0
False,False,False,-0.282,167,-42,-64,53,0.36,1
False,False,False,0.079,1118,39,-44,-29,0.393,1
False,True,False,-0.707,7,-99,-23,96,0.337,0
True,False,False,-1.0,133,25,61,-47,0.825,1
False,False,True,0.866,203,11,-72,60,0.454,0
False,False,True,-0.259,2,-3,-31,-97,0.712,0
False,False,True,0.866,1832,49,77,-65,0.516,0
False,False,False,-0.807,575,-76,31,62,0.537,1
True,False,False,-1.0,223,69,93,85,0.406,1
False,False,False,-0.886,1967,-53,-12,-42,0.707,1
False,False,False,-0.635,1403,93,91,-90,0.831,1
False,False,False,-0.084,0,-9,9,-18,0.368,0
False,False,False,-0.481,1226,53,75,-59,0.425,1
False,False,False,-0.867,2698,-95,94,97,0.791,1
False,True,False,-0.866,238,-41,-46,-22,0.769,1
False,False,True,0.5,105,35,64,71,0.044,0
False,True,False,-0.0,1157,93,0,-89,0.695,0
False,True,False,-0.259,1515,-31,33,84,0.987,0
False,False,True,0.866,7,-21,66,82,0.118,0
